name,price,url,image,category_url,timestamp
"Air Jordan 4 Retro ""Cave Stone and Black""","$220","https://www.nike.com/t/air-jordan-4-retro-cave-stone-and-black-mens-shoes-R20n6n/FV5029-200","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/d348f68b-0f45-4d47-8e7f-14520e7aafad/AIR+JORDAN+4+RETRO.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Air Jordan 5 Retro ""Fire Red Black Tongue""","$215","https://www.nike.com/t/air-jordan-5-retro-fire-red-black-tongue-mens-shoes-ifStMDUY/HQ7978-101","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/89a0437e-bd82-488b-8f36-ec218e44257f/AIR+JORDAN+5+RETRO+OG.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Ava Rover","$145","https://www.nike.com/t/ava-rover-shoes-6SKXnz/DX4215-100","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8402dfb2-01b5-4b10-bffb-742d6e327d9b/NIKE+AVA+ROVER.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Dunk Low Retro","$120","https://www.nike.com/t/dunk-low-retro-mens-shoes-TBAyAFDh/IM2222-101","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/df799155-975a-45a8-a944-96854ccb970e/NIKE+DUNK+LOW+RETRO.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Vomero Plus","$180","https://www.nike.com/t/vomero-plus-mens-road-running-shoes-5npsVBwT/HV8150-100","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/053d5240-66c4-4e1f-9d20-99b71e7f422a/NIKE+VOMERO+PLUS.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Structure 26","$145","https://www.nike.com/t/structure-26-mens-road-running-shoes-M4sx9fru/HJ1102-102","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d125747b-211b-44a9-99ab-b66a0e1fb9bc/NIKE+STRUCTURE+26.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Kobe IX Elite Low EM Protro","$190","https://www.nike.com/t/kobe-ix-elite-low-em-protro-basketball-shoes-DzR2UQFR/IH1401-002","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/8e9a1bf7-123a-4b7f-ac5e-89abc816600f/KOBE+IX+ELITE+LOW+EM+PROTRO.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Air Max 95","$200","https://www.nike.com/launch/r/HQ1973-001","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/64e5db91-d301-4e9c-8ec9-413ae3196a2c/NIKE+AIR+MAX+95+QS.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Zoom Vomero 5","$170","https://www.nike.com/t/zoom-vomero-5-mens-shoes-MgsTqZ/IM2219-121","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/46e5b31f-fa63-4762-beea-dc79b056af2d/NIKE+ZOOM+VOMERO+5.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike V5 RNR","$90","https://www.nike.com/t/v5-rnr-mens-shoes-WHxi2GRN/HJ5228-004","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2326519c-bc7b-4df4-b721-7c466e18b6d1/NIKE+V5+RNR.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Giannis Freak 7 ""Spotlight""","$115","https://www.nike.com/t/giannis-freak-7-spotlight-basketball-shoes-gFspbxGI/II5250-200","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/c51ec89d-b1fb-4db6-9366-b89feadbaa03/GIANNIS+FREAK+7+LE.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Book 1 ""AM Neon""","$145","https://www.nike.com/t/book-1-am-neon-basketball-shoes-FxlwhV/HJ4388-001","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/628d5f89-22ea-4b46-9e52-e75c5eb17026/BOOK+1+95.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"A'One ""Sunshine""","$115","https://www.nike.com/t/aone-sunshine-aja-wilson-basketball-shoes-Tu9kfkaT/FZ8605-701","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/fee6a799-57a4-48f8-ad9f-1e8a55c0ac3b/A%27ONE.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Sabrina 3 ""Radiant""","$135","https://www.nike.com/t/sabrina-3-radiant-basketball-shoes-d4fvNc/HF2881-500","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/d599f4c0-730f-4e90-9152-42535f8e956e/SABRINA+3.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Air Jordan 12 Retro ""French Blue""","$205","https://www.nike.com/t/air-jordan-12-retro-french-blue-mens-shoes-mmrpJt/CT8013-114","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/e8f07d08-68e6-4b69-901d-adea378746b3/AIR+JORDAN+12+RETRO.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Jordan 4 Retro TD","$205","https://www.nike.com/t/jordan-4-retro-td-football-cleats-MmMMKr/HQ0207-106","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/u_126ab356-44d8-4a06-89b4-fcdcc8df0245,c_scale,fl_relative,w_1.0,h_1.0,fl_layer_apply/09533032-1b46-4a3a-b2ba-22ec394a7fb9/JORDAN+4+RETRO+TD.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Air Max Uptempo '95","$170","https://www.nike.com/t/air-max-uptempo-95-mens-shoes-DjvmEey1/CK0892-103","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/lcb6zrmjycib0cv1ebn8/AIR+MAX+UPTEMPO+%2795.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Air Max 95","$210","https://www.nike.com/launch/r/II7404-400","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/b414fde0-5585-4d93-be7a-be16de9073f9/NIKE+AIR+MUSCLE+95+QS+YGO.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Metcon 10","$155","https://www.nike.com/t/metcon-10-mens-workout-shoes-WWGl2m1D/HJ1875-100","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/6f9ce7db-f2ec-45ff-a25b-d32878e78cec/M+NIKE+METCON+10.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Free Metcon 6","$125","https://www.nike.com/t/free-metcon-6-mens-workout-shoes-QFCf19/FJ7127-101","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/92d0dc75-6749-4d04-955f-911a8edce5c8/NIKE+FREE+METCON+6.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Vomero 18","$155","https://www.nike.com/t/vomero-18-mens-road-running-shoes-NzWnvcC8/HM6803-101","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/14a27a5c-33ef-4f9e-bff8-5f7111ddb8fd/NIKE+VOMERO+18.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Pegasus 41","$145","https://www.nike.com/t/pegasus-41-mens-road-running-shoes-LMhfRGdO/IB5697-100","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e5ac3ab0-2500-4b3d-9917-bbc54fe496a3/AIR+ZOOM+PEGASUS+41+RUN.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Alphafly 3 Premium","$305","https://www.nike.com/t/alphafly-3-premium-mens-road-racing-shoes-5gZBgL/IH3575-999","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2a3501e4-8829-47f1-a949-ef6ff5cb2fb9/AIR+ZOOM+ALPHAFLY+NEXT%25+3+PRM.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"
"Nike Vaporfly 4","$280","https://www.nike.com/t/vaporfly-4-mens-road-racing-shoes-HK05JWOf/IH3586-999","https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/2eab0beb-140d-4490-b3b1-57acc6415dd3/ZOOMX+VAPORFLY+NEXT%25+4+PRM.png","https://www.nike.com/w/mens-shoes-nik1zy7ok","2025-09-12T11:49:58.993Z"